strain gisaid_id
England/NORW-3140957/2022 EPI_ISL_9610144
England/NORW-3141511/2022 EPI_ISL_9587046
England/NORW-3141575/2022 EPI_ISL_9560662
England/NORW-3141D19/2022 EPI_ISL_9560704
England/NORW-3143464/2022 EPI_ISL_9610269
England/NORW-3143D31/2022 EPI_ISL_9561026
England/NORW-31451F0/2022 EPI_ISL_9561095
England/NORW-314636F/2022 EPI_ISL_9561255
England/NORW-31464B3/2022 EPI_ISL_9561273
England/NORW-3146C10/2022 EPI_ISL_9561316
England/NORW-3147630/2022 EPI_ISL_9561422
England/NORW-31482EA/2022 EPI_ISL_9610437
England/NORW-31484CC/2022 EPI_ISL_9587140
England/NORW-314891E/2021 EPI_ISL_9561524
England/NORW-314A259/2022 EPI_ISL_9610447
England/NORW-314A8A8/2022 EPI_ISL_9587153
England/NORW-314AFCD/2022 EPI_ISL_9561771
England/NORW-314B7D1/2022 EPI_ISL_9587165
England/NORW-314BAB2/2022 EPI_ISL_9610466
England/NORW-314BE77/2022 EPI_ISL_9562004
England/NORW-314C2E2/2022 EPI_ISL_9587175
England/NORW-314D3D1/2022 EPI_ISL_9562147
England/NORW-314D597/2022 EPI_ISL_9562156
England/NORW-314D5C1/2022 EPI_ISL_9587195
England/NORW-314DA13/2022 EPI_ISL_9587199
England/NORW-314E4FA/2022 EPI_ISL_9562269
England/NORW-314E9D9/2022 EPI_ISL_9736247
England/NORW-314EB3C/2022 EPI_ISL_9736266
England/NORW-314FA01/2022 EPI_ISL_9832870
England/NORW-314FAC8/2022 EPI_ISL_9832876
England/NORW-314FCAA/2022 EPI_ISL_9832891
England/NORW-315169E/2022 EPI_ISL_9833032
England/NORW-3151C43/2022 EPI_ISL_9833072
England/NORW-3151D26/2022 EPI_ISL_10012247
England/NORW-3151D42/2022 EPI_ISL_9833078
England/NORW-3151E88/2022 EPI_ISL_9833090
England/NORW-315289A/2022 EPI_ISL_9833148
England/NORW-3152F5C/2022 EPI_ISL_9833198
England/NORW-3154F02/2022 EPI_ISL_9833291
England/NORW-3156976/2022 EPI_ISL_9833341
England/NORW-3156BF3/2022 EPI_ISL_9833363
England/NORW-3156D64/2022 EPI_ISL_9833372
England/NORW-3156DC7/2022 EPI_ISL_9833377
England/NORW-3157981/2022 EPI_ISL_9833450
England/NORW-31579C9/2022 EPI_ISL_9833451
England/NORW-31579E5/2022 EPI_ISL_9833453
England/NORW-3157C47/2022 EPI_ISL_9833476
England/NORW-3157C9C/2022 EPI_ISL_9833480
England/NORW-3157D54/2022 EPI_ISL_9833484
England/NORW-3157E8C/2022 EPI_ISL_10012348
England/NORW-31590E9/2022 EPI_ISL_9833502
England/NORW-315A03E/2022 EPI_ISL_9833592
England/NORW-315A076/2022 EPI_ISL_9833595
England/NORW-315A182/2022 EPI_ISL_9833604
England/NORW-315A274/2022 EPI_ISL_9833611
England/NORW-315A3AC/2022 EPI_ISL_9833619
England/NORW-315A400/2022 EPI_ISL_9833624
England/NORW-315A6E1/2022 EPI_ISL_9833652
England/NORW-315A729/2022 EPI_ISL_9833654
England/NORW-315A79A/2022 EPI_ISL_9833659
England/NORW-315A9C2/2022 EPI_ISL_9833676
England/NORW-315ACA3/2022 EPI_ISL_9833691
England/NORW-315AF05/2022 EPI_ISL_9833705
England/NORW-315AF69/2022 EPI_ISL_9833708
England/NORW-315B2D5/2022 EPI_ISL_9833731
England/NORW-315B4B7/2022 EPI_ISL_9833745
England/NORW-315BD92/2022 EPI_ISL_9833793
England/NORW-315BDBE/2022 EPI_ISL_10012392
England/NORW-315BF82/2022 EPI_ISL_10012395
England/NORW-315C163/2022 EPI_ISL_9833820
England/NORW-315C3D2/2022 EPI_ISL_9833835
England/NORW-315C4FD/2022 EPI_ISL_9833842
England/NORW-315C634/2022 EPI_ISL_9833851
England/NORW-315C697/2022 EPI_ISL_9833855
England/NORW-315C75F/2022 EPI_ISL_9833862
England/NORW-315C8CF/2022 EPI_ISL_9833874
England/NORW-315D2B5/2022 EPI_ISL_9833917
England/NORW-315D489/2022 EPI_ISL_9833928
England/NORW-315D6A3/2022 EPI_ISL_9833944
England/NORW-315D7EA/2022 EPI_ISL_9833954
England/NORW-315E16F/2022 EPI_ISL_9834015
England/NORW-315E2A5/2022 EPI_ISL_9834023
England/NORW-315E45E/2022 EPI_ISL_9834038
England/NORW-315F0A5/2022 EPI_ISL_9834112
England/NORW-315F0FB/2022 EPI_ISL_9834116
England/NORW-315FAC7/2022 EPI_ISL_10012465
England/NORW-315FCFF/2022 EPI_ISL_10012472
England/NORW-31602A1/2022 EPI_ISL_10012479
England/NORW-3160C36/2022 EPI_ISL_9834488
England/NORW-3160CA7/2021 EPI_ISL_9834490
England/NORW-316134B/2022 EPI_ISL_9834522
England/NORW-3161402/2022 EPI_ISL_10012495
England/NORW-3161481/2022 EPI_ISL_9834533
England/NORW-3161A36/2022 EPI_ISL_9834571
England/NORW-3161DC0/2022 EPI_ISL_9834604
England/NORW-31623F2/2022 EPI_ISL_9834640
England/NORW-3162670/2022 EPI_ISL_9834661
England/NORW-316297D/2022 EPI_ISL_9834683
England/NORW-3162E14/2021 EPI_ISL_9834720
England/NORW-3163628/2022 EPI_ISL_9834761
England/NORW-3163C78/2022 EPI_ISL_9834796
England/NORW-31641F0/2022 EPI_ISL_9834835
England/NORW-3164270/2022 EPI_ISL_9834838
England/NORW-31646C1/2022 EPI_ISL_10012562
England/NORW-3165236/2022 EPI_ISL_9834939
England/NORW-3165489/2022 EPI_ISL_9834948
England/NORW-3165616/2022 EPI_ISL_9834954
England/NORW-31656A3/2021 EPI_ISL_9834957
England/NORW-3165AD9/2022 EPI_ISL_9834982
England/NORW-3165BD8/2022 EPI_ISL_9834988
